Weight
1531
3
5
5
354
103
184
3
33
5
5
72
2
75
35
22
208
107
5
37
66
160
10
10
1
2
6
3
1
1
5
7
15
1
1
16
1
2
12
12
836
157
341
90
24
1
21
10
214
88
62
41
1
4
114
5
4
3
1
69
7
36
27
51
73
22
80
42
12
57
36
73
8
43
26
91
148
3
30
29
8
39
1
1659
49
2
882
4
81
215
84
283
115
6
2
7
29
3
1
1
30
3
3
4
22
6
9
52
2
36
9
9
35
15
58
66
60
1
61
19
1
55
103
286
85
107
321
4
280
9
16
14
8
16
60
10
6
15
65
6
19
2
5
1
4
1
3
27
53
14
21
78
32
37
14
3
18
3
1
2
27
15
4
7
20
42
14
3
50
23
2
12
2
4
33
3
5
5
4
43
6
4
19
5
32
72
3
28
90
25
55
13
611
52
28
117
91
28
73
75
514
482
93
24
218
2
20
1
1
5
1
3
2
5
2
2
1
1
6
6
124
12
28
140
22
1
5
1
16
1
2
6
26
37
48
20
6
58
9
1
1
4
7
147
578
46
3
1
29
6
50
4
3
12
16
12
1
3
1
5
6
1
27
1
1
13
19
265
3
3
1
65
59
59
4
10
67
8
8
21
10
45
49
5
289
22
4
5
38
7
7
224
1657
97
92
155
1203
1904
2088
96
123
681
77
236
3
123
368
152
674
314
83
2024
1149
116
175
343
223
249
205
